doctor_id,hospital_id,doctor_name,speciality,experience_years,rating,doctor_fees
97,20,Dr. Tejal Ranade,Oncology,9,3.7,600
98,20,Dr. Kavita Gupta,Gastroenterology,3,3.8,350
99,20,Dr. Arjun Phadke,Orthopedics,4,3,200
100,20,Dr. Amit Kapadia,Orthopedics,4,3.3,250
101,21,Dr. Harsh Thakkar,Cardiology,2,3.2,200
102,21,Dr. Harsh Majumdar,Pulmonology,5,4.1,700
103,21,Dr. Aarti Panchal,Cardiology,40,4.8,3200
104,21,Dr. Foram Verma,Neurology,5,3.5,500
105,21,Dr. Ranjana Dave,Ophthalmology,5,3.9,550
106,22,Dr. Sonal Raval,Cardiology,5,4.5,800
107,22,Dr. Siddharth Kothari,Psychiatry,9,3.7,750
108,22,Dr. Amit Pandya,Gastroenterology,17,4.1,1500
109,22,Dr. Varun Reddy,Pediatrics,2,3.3,250
110,22,Dr. Priya Tripathi,ENT,17,4.8,1500
111,23,Dr. Nidhi Gupta,ENT,15,4.5,1000
112,23,Dr. Pooja Vora,Nephrology,3,3.4,200
113,23,Dr. Anil Ranade,Dermatology,34,4.3,2100
114,23,Dr. Pallavi Sharma,Urology,5,3.9,400
115,23,Dr. Madhuri Swamy,Gynaecology,5,4.1,450
116,24,Dr. Usha Barve,Cardiology,14,4.5,1250
117,24,Dr. Priya Dave,Orthopedics,13,4.7,1350
118,24,Dr. Usha Reddy,Neurology,39,5,3150
119,24,Dr. Alok Bhatt,Pulmonology,29,4.8,2650
120,24,Dr. Rupal Rao,Gynaecology,1,3.7,300
121,25,Dr. Karthik Sharma,Dermatology,5,4.2,500
122,25,Dr. Nikhil Gandhi,Nephrology,19,4.8,1400
123,25,Dr. Alok Swamy,General Medicine,1,3.1,200
124,25,Dr. Richa Dubey,Orthopedics,24,4.8,1600
125,25,Dr. Pallavi Ranade,General Medicine,7,4.1,500
126,26,Dr. Anil Nair,Psychiatry,2,3.9,350
127,26,Dr. Rajesh Naik,General Medicine,5,4.2,650
128,26,Dr. Sneha Barve,Orthopedics,6,4.3,800
129,26,Dr. Arjun Trivedi,Pediatrics,22,4.6,2100
130,26,Dr. Nitin Shukla,Gynaecology,4,3.6,450
131,27,Dr. Sunil Prajapati,Oncology,2,3.3,200
132,27,Dr. Aditya Kulkarni,Psychiatry,7,3.6,450
133,27,Dr. Kavita Sharma,Oncology,2,3.1,200
134,27,Dr. Sneha Panchal,Cardiology,17,4.8,1200
135,27,Dr. Neha Amin,Neurology,16,4.5,1000
136,28,Dr. Vikram Barve,Pediatrics,8,3.9,600
137,28,Dr. Divya Yadav,Cardiology,8,3.6,450
138,28,Dr. Pallavi Joshi,Neurology,7,3.8,500
139,28,Dr. Manish More,ENT,8,3.8,500
140,28,Dr. Arjun Majumdar,Oncology,2,3.5,200
141,29,Dr. Nikhil Thakkar,Psychiatry,5,3.5,350
142,29,Dr. Ritu Trivedi,Cardiology,14,4.2,950
143,29,Dr. Rakesh Menon,Psychiatry,17,4.5,1200
144,29,Dr. Shilpa Shah,Pediatrics,6,3.8,400
145,29,Dr. Nitin Murthy,Dermatology,6,3.6,450
146,30,Dr. Archana Sharma,General Medicine,14,4.6,1300
147,30,Dr. Swati Menon,Orthopedics,13,4,1250
148,30,Dr. Rakesh Deshpande,Orthopedics,5,3.7,500
149,30,Dr. Rajesh Kothari,Gastroenterology,5,4.1,600
150,30,Dr. Varun Barve,Cardiology,10,4.1,1000
151,31,Dr. Aditya Kapadia,Pediatrics,9,3.6,750
152,31,Dr. Sneha Barve,Psychiatry,18,4.7,1600
153,31,Dr. Nikhil Gandhi,Psychiatry,13,4.4,1150
154,31,Dr. Aditya Joshi,Psychiatry,2,3.7,350
155,31,Dr. Anil Pawar,Ophthalmology,26,4.9,2400
156,32,Dr. Sanjay Patel,Gastroenterology,8,4.4,950
157,32,Dr. Ashok Joshi,Oncology,1,3.7,250
158,32,Dr. Aarti Patel,General Medicine,5,3.8,550
159,32,Dr. Aditya Amin,ENT,3,3.4,350
160,32,Dr. Nitin Thakur,General Medicine,16,4.1,1400
161,33,Dr. Anita Patil,Gastroenterology,2,3.3,200
162,33,Dr. Mohit Shinde,Gynaecology,10,4.8,1250
163,33,Dr. Ranjana Thakkar,Gynaecology,2,3.1,200
164,33,Dr. Varun Rao,Pediatrics,37,4.4,2800
165,33,Dr. Ritu Mishra,Gastroenterology,7,3.5,650
166,34,Dr. Sneha Shah,General Medicine,22,4.3,1400
167,34,Dr. Madhuri Panchal,Cardiology,9,3.9,650
168,34,Dr. Anjali Amin,Pulmonology,29,4.8,2000
169,34,Dr. Pankaj Kapadia,Gynaecology,3,3.6,250
170,34,Dr. Mohit Kothari,Orthopedics,2,3.8,250
171,35,Dr. Sneha Deshpande,General Medicine,16,4.6,1400
172,35,Dr. Pankaj More,Gynaecology,24,4.4,2000
173,35,Dr. Karthik Menon,Urology,17,4.6,1450
174,35,Dr. Ritu Dubey,General Medicine,2,3.8,350
175,35,Dr. Divya Raval,Neurology,15,4.6,1550
176,36,Dr. Rahul Gandhi,Pulmonology,7,3.8,500
177,36,Dr. Pallavi Mishra,Urology,1,3.5,200
178,36,Dr. Madhuri Trivedi,Ophthalmology,37,4.9,2250
179,36,Dr. Rakesh Mehta,Gastroenterology,3,3.8,300
180,36,Dr. Gaurav More,Psychiatry,2,3.7,250
181,37,Dr. Vidya Panchal,Gynaecology,2,3.4,200
182,37,Dr. Neha Singh,Gastroenterology,2,3.7,300
183,37,Dr. Harsh Pandey,Gastroenterology,23,4.3,1850
184,37,Dr. Anita Kulkarni,Orthopedics,19,4.5,1550
185,37,Dr. Karthik Dubey,Ophthalmology,14,4.2,1200
186,38,Dr. Aarti Pandya,Ophthalmology,7,3.9,750
187,38,Dr. Varun Jadhav,General Medicine,21,4.4,1800
188,38,Dr. Pankaj Thakkar,Ophthalmology,25,4.7,2200
189,38,Dr. Nikhil Thakkar,Gynaecology,4,3.5,350
190,38,Dr. Madhuri Naik,Urology,6,4,650
191,39,Dr. Madhuri Deshpande,Psychiatry,15,4.3,1050
192,39,Dr. Pankaj More,Cardiology,28,4.5,1800
193,39,Dr. Meera Reddy,Gynaecology,13,4.2,800
194,39,Dr. Amit Phadke,Pediatrics,3,3.8,300
195,39,Dr. Vikram Raval,General Medicine,9,3.5,550
196,40,Dr. Anjali Gupta,Urology,1,3.3,200
197,40,Dr. Vikram Parikh,General Medicine,2,3.1,200
198,40,Dr. Richa Desai,General Medicine,2,3.3,200
199,40,Dr. Meera Dubey,Nephrology,37,4.4,2900
200,40,Dr. Karthik Bhatt,Cardiology,16,4.6,1450
201,41,Dr. Varun Panchal,Gastroenterology,15,4.4,1250
202,41,Dr. Rahul Rao,ENT,12,4,1100
203,41,Dr. Sunil Tripathi,Ophthalmology,4,3.1,300
204,41,Dr. Foram Parikh,Gynaecology,32,4.4,2300
205,41,Dr. Divya Goud,Neurology,20,4.6,1600
206,42,Dr. Sameer Nair,Pulmonology,15,4.2,1300
207,42,Dr. Foram Pawar,Oncology,21,4.3,1750
208,42,Dr. Sonal Murthy,Orthopedics,2,3,200
209,42,Dr. Pooja Pawar,Gynaecology,1,4,300
210,42,Dr. Suresh Menon,Ophthalmology,10,4.1,1050
211,43,Dr. Gaurav Soni,Gynaecology,26,4.8,1050
212,43,Dr. Sanjay Vora,Nephrology,38,4.5,1550
213,43,Dr. Amit Naidu,Gastroenterology,4,3.7,250
214,43,Dr. Aditya Mehta,Dermatology,13,4.7,800
215,43,Dr. Harsh Venkat,Dermatology,4,3.1,200
216,44,Dr. Tarun Nair,Psychiatry,5,3.5,350
217,44,Dr. Ranjana Soni,Orthopedics,1,3.2,200
218,44,Dr. Sunil Trivedi,Psychiatry,1,3.3,200
219,44,Dr. Anita Amin,Cardiology,1,3.3,200
220,44,Dr. Siddharth Mishra,Oncology,3,3,200
221,45,Dr. Vidya Tripathi,Gynaecology,15,4.4,650
222,45,Dr. Mohit Singh,Cardiology,3,3.5,200
223,45,Dr. Pankaj Jadhav,Nephrology,9,4.5,550
224,45,Dr. Anjali Vora,Urology,2,3.7,200
225,45,Dr. Rohan Choudhary,Gynaecology,12,4.6,750
226,46,Dr. Siddharth Vora,Urology,5,4.3,500
227,46,Dr. Karthik Reddy,Orthopedics,5,3.7,400
228,46,Dr. Aditya Trivedi,Urology,13,4.1,800
229,46,Dr. Vikram Pandya,Neurology,1,3.8,200
230,46,Dr. Arjun Venkat,Dermatology,33,4.6,2150
231,47,Dr. Sneha Thakkar,Orthopedics,12,4.3,800
232,47,Dr. Richa Mehta,Dermatology,27,4.5,1550
233,47,Dr. Anil Swamy,Urology,9,3.9,650
234,47,Dr. Pooja More,General Medicine,8,4.4,700
235,47,Dr. Manish Phadke,Orthopedics,1,3.5,200
236,48,Dr. Archana Amin,Cardiology,15,4.5,700
237,48,Dr. Pooja Mehta,Cardiology,6,4,400
238,48,Dr. Madhuri Ranade,Orthopedics,40,4.7,1450
239,48,Dr. Ritu Amin,Cardiology,3,3.7,250
240,48,Dr. Shilpa Kapadia,Dermatology,6,3.6,300
241,49,Dr. Rahul Mehta,Ophthalmology,39,4.3,1550
242,49,Dr. Suresh Rao,Ophthalmology,15,4.1,750
243,49,Dr. Pallavi Pawar,General Medicine,6,4.5,450
244,49,Dr. Deepak Trivedi,Gynaecology,4,3.6,200
245,49,Dr. Sunil Mehta,Neurology,2,3.5,200
246,50,Dr. Arjun Kumar,Nephrology,15,4.3,1000
247,50,Dr. Kunal Pawar,Nephrology,9,4.2,650
248,50,Dr. Ranjana Trivedi,Gynaecology,1,3.5,200
249,50,Dr. Shilpa Parikh,Orthopedics,2,3.5,200
250,50,Dr. Rohan Modi,Psychiatry,20,4.3,1350
251,51,Dr. Anil Gandhi,Neurology,17,4.6,1150
252,51,Dr. Nikhil Joshi,Gynaecology,5,4.5,500
253,51,Dr. Anita Ranade,Gynaecology,10,4.3,700
254,51,Dr. Madhuri Gandhi,Orthopedics,7,3.6,450
255,51,Dr. Nitin Iyer,Cardiology,2,3.2,200
256,52,Dr. Pooja Pandya,Urology,26,4.5,1250
257,52,Dr. Sanjay Modi,Gastroenterology,8,4.3,500
258,52,Dr. Ashok Pandya,ENT,8,4.1,450
259,52,Dr. Ritu Vora,Gynaecology,19,4.1,750
260,52,Dr. Mansi Verma,Pediatrics,6,4.3,400
261,53,Dr. Pallavi Singh,Dermatology,18,4.5,850
262,53,Dr. Rohan Iyer,Ophthalmology,21,4.5,1050
263,53,Dr. Sanjay Shinde,ENT,2,3,200
264,53,Dr. Sneha Singh,Gynaecology,4,3.9,250
265,53,Dr. Kunal Gandhi,Nephrology,3,3.1,200
266,54,Dr. Aditya Iyer,Pediatrics,8,3.6,600
267,54,Dr. Sanjay Tripathi,Cardiology,36,4.6,2800
268,54,Dr. Tarun Majumdar,Ophthalmology,14,4.6,1250
269,54,Dr. Sonal Trivedi,Neurology,2,3.9,400
270,54,Dr. Archana Majumdar,Gynaecology,19,4,1450
271,55,Dr. Anjali Kothari,General Medicine,10,4.4,800
272,55,Dr. Ranjana Mehta,Pediatrics,1,3.7,200
273,55,Dr. Nikhil Patel,General Medicine,8,3.6,550
274,55,Dr. Rahul Patel,General Medicine,31,4.3,1800
275,55,Dr. Ranjana Verma,Ophthalmology,21,4.3,1350
276,56,Dr. Archana Patil,Cardiology,2,3.3,200
277,56,Dr. Mansi Swamy,Urology,1,3.8,250
278,56,Dr. Aarti Deshpande,Oncology,7,4.2,850
279,56,Dr. Nikhil Shah,ENT,4,3.7,400
280,56,Dr. Mohit Barve,Psychiatry,9,3.8,850
281,57,Dr. Ritu Menon,ENT,2,4,300
282,57,Dr. Sneha Majumdar,Oncology,8,3.8,600
283,57,Dr. Madhuri Bhatt,Pediatrics,5,3.9,450
284,57,Dr. Pallavi Goud,Oncology,14,4.5,1050
285,57,Dr. Manish Phadke,Pediatrics,8,4.4,700
286,58,Dr. Nikhil Dubey,Urology,16,4.3,750
287,58,Dr. Mohit Phadke,Neurology,23,4.6,950
288,58,Dr. Vikram Parikh,Orthopedics,18,4.3,900
289,58,Dr. Swati Rao,General Medicine,7,4.3,400
290,58,Dr. Foram Pawar,Gastroenterology,37,4.7,1650
291,59,Dr. Kavita Singh,Gynaecology,9,3.5,800
292,59,Dr. Arjun Kapadia,Cardiology,2,3.1,200
293,59,Dr. Rahul Kothari,Pediatrics,8,3.9,850
294,59,Dr. Ritu Kumar,Cardiology,6,4.2,800
295,59,Dr. Nitin Joshi,Oncology,6,4.2,700
296,60,Dr. Ashok Goud,Dermatology,7,4.5,850
297,60,Dr. Priya Dubey,Neurology,13,4.2,1300
298,60,Dr. Anita Menon,Gynaecology,4,3.1,300
299,60,Dr. Priya Patil,Oncology,22,5,1900
300,60,Dr. Tejal Trivedi,General Medicine,37,4.7,3250
301,61,Dr. Mansi Vora,Pediatrics,39,4.5,1350
302,61,Dr. Sunil Rao,Dermatology,33,4.4,1350
303,61,Dr. Foram Swamy,Ophthalmology,6,4,350
304,61,Dr. Archana Yadav,Gastroenterology,7,4.3,400
305,61,Dr. Foram Yadav,Cardiology,5,4.1,300
306,62,Dr. Gaurav Tripathi,General Medicine,9,4.4,650
307,62,Dr. Amit Mishra,Orthopedics,16,4.6,1200
308,62,Dr. Rahul Reddy,Dermatology,15,4.5,1100
309,62,Dr. Siddharth Naidu,Neurology,8,4.2,700
310,62,Dr. Archana Reddy,Cardiology,2,3.5,200
311,63,Dr. Rahul Modi,Cardiology,10,4.4,600
312,63,Dr. Sanjay Jadhav,Pediatrics,9,3.7,400
313,63,Dr. Manish Shukla,Gynaecology,6,3.9,350
314,63,Dr. Anil Shinde,Neurology,11,4.5,650
315,63,Dr. Pooja Patel,Oncology,15,4,650
316,64,Dr. Pallavi Iyer,Cardiology,21,4.3,1600
317,64,Dr. Priya Kapadia,Pediatrics,23,4.3,1800
318,64,Dr. Vikram Kapadia,Ophthalmology,8,3.8,700
319,64,Dr. Sunita Dave,Gastroenterology,7,4,700
320,64,Dr. Vidya Shinde,Cardiology,7,4.4,800
321,65,Dr. Mohit Modi,Dermatology,3,3.7,300
322,65,Dr. Tejal Desai,Neurology,12,4.5,900
323,65,Dr. Rajesh Dubey,Gastroenterology,11,4.5,850
324,65,Dr. Shilpa Kulkarni,Gynaecology,1,3.3,200
325,65,Dr. Rajesh Ranade,Dermatology,7,4.1,600
326,66,Dr. Tarun Phadke,Cardiology,5,4.3,550
327,66,Dr. Swati Patel,Pediatrics,18,4.1,1100
328,66,Dr. Harsh Dave,Cardiology,7,4,550
329,66,Dr. Varun Jadhav,Gynaecology,13,4.1,900
330,66,Dr. Sneha Pandya,Neurology,24,4.7,1600
331,67,Dr. Tarun Menon,Neurology,4,3.5,400
332,67,Dr. Tejal Shah,Gynaecology,6,4.4,800
333,67,Dr. Siddharth Singh,Oncology,19,4.2,1550
334,67,Dr. Nitin Menon,ENT,32,4.7,2800
335,67,Dr. Shilpa Majumdar,Oncology,38,5,2950
336,68,Dr. Sunita Kumar,Ophthalmology,24,4.6,2250
337,68,Dr. Pooja Vora,Gynaecology,1,3.7,250
338,68,Dr. Ritu Gandhi,General Medicine,4,3.9,500
339,68,Dr. Divya Dubey,Neurology,4,3,250
340,68,Dr. Rahul Naidu,Urology,4,3.2,350
341,69,Dr. Anjali Reddy,Gynaecology,9,4.5,950
342,69,Dr. Sunita Pandey,ENT,19,4.6,1900
343,69,Dr. Tejal Swamy,Oncology,7,3.8,700
344,69,Dr. Mohit Prajapati,Cardiology,1,3.6,200
345,69,Dr. Karthik Murthy,Pulmonology,1,3.1,200
346,70,Dr. Sameer Kumar,Orthopedics,5,3.5,400
347,70,Dr. Rahul Pandey,Dermatology,4,3.9,400
348,70,Dr. Nitin Amin,Pediatrics,16,4.2,1100
349,70,Dr. Richa Pandya,Orthopedics,8,4,650
350,70,Dr. Nitin Naik,General Medicine,8,4.4,700
351,71,Dr. Meera Naidu,Dermatology,17,4.2,1350
352,71,Dr. Varun Shinde,ENT,35,4.8,2550
353,71,Dr. Divya Menon,Gastroenterology,9,3.8,800
354,71,Dr. Vikram Kothari,Cardiology,16,4.5,1500
355,71,Dr. Kunal Goud,Cardiology,8,3.7,650
356,72,Dr. Alok Murthy,Neurology,5,3.8,600
357,72,Dr. Rupal Bhatt,Nephrology,11,4.1,1050
358,72,Dr. Neha Choudhary,ENT,6,3.5,600
359,72,Dr. Aarti Kumar,Neurology,9,3.8,750
360,72,Dr. Arjun Rao,Cardiology,7,3.8,700
361,73,Dr. Sonal Majumdar,ENT,19,4.4,1000
362,73,Dr. Neha Dubey,Gastroenterology,7,3.8,400
363,73,Dr. Sunil Mishra,Pediatrics,4,3.1,200
364,73,Dr. Meera Bhatt,Orthopedics,4,3.8,250
365,73,Dr. Aditya Pandya,ENT,9,4.4,500
366,74,Dr. Varun Rao,Cardiology,5,4.2,600
367,74,Dr. Ritu Kumar,Cardiology,9,4.2,850
368,74,Dr. Deepak Kapadia,Cardiology,10,4.4,1050
369,74,Dr. Varun Iyer,Gynaecology,11,4.1,950
370,74,Dr. Sunil Naidu,Urology,38,4.8,3150
371,75,Dr. Ranjana Deshpande,Psychiatry,8,3.6,350
372,75,Dr. Siddharth Modi,Gynaecology,6,4.3,400
373,75,Dr. Aarti Kumar,Gastroenterology,7,3.8,400
374,75,Dr. Sanjay Pawar,General Medicine,28,5,1150
375,75,Dr. Rohan Rao,General Medicine,4,3.6,200
376,76,Dr. Ranjana Kulkarni,Cardiology,16,4.6,1150
377,76,Dr. Kunal Gandhi,Orthopedics,11,4.3,800
378,76,Dr. Vikram Kothari,Pulmonology,23,4.5,1550
379,76,Dr. Vikram Joshi,Gynaecology,11,4.2,750
380,76,Dr. Anjali Naik,Pulmonology,3,3.2,200
381,77,Dr. Vikram Kothari,Gastroenterology,36,4.7,3050
382,77,Dr. Tejal Krishnan,Orthopedics,7,4.3,800
383,77,Dr. Rahul Barve,Dermatology,17,4.3,1550
384,77,Dr. Ashok Ranade,Oncology,11,4.5,1250
385,77,Dr. Rahul Shah,General Medicine,18,4.8,1900
386,78,Dr. Rohan Desai,Ophthalmology,2,3.4,200
387,78,Dr. Vikram Murthy,Pediatrics,12,4.4,850
388,78,Dr. Swati Trivedi,Ophthalmology,4,3.4,300
389,78,Dr. Siddharth Panchal,Cardiology,2,3.9,300
390,78,Dr. Sunil More,Pediatrics,16,4,900
391,79,Dr. Archana Singh,General Medicine,12,4.8,1350
392,79,Dr. Divya Venkat,Nephrology,1,3.9,300
393,79,Dr. Aarti Amin,Pediatrics,9,4.2,900
394,79,Dr. Deepak Joshi,Urology,9,4.3,950
395,79,Dr. Madhuri Pandey,General Medicine,24,4.5,2050
396,80,Dr. Foram Tripathi,Pediatrics,5,3.6,350
397,80,Dr. Nidhi Venkat,Nephrology,9,4,650
398,80,Dr. Rakesh Thakur,Urology,1,3.4,200
399,80,Dr. Sanjay Krishnan,Gynaecology,16,4.6,1050
400,80,Dr. Ashok Mishra,Psychiatry,18,4.3,1100
401,81,Dr. Sunil Barve,Orthopedics,12,4.6,650
402,81,Dr. Aarti Pandya,Orthopedics,5,4.4,400
403,81,Dr. Alok Amin,Neurology,3,3.8,200
404,81,Dr. Rahul Pandey,Oncology,13,4.5,700
405,81,Dr. Madhuri Yadav,Orthopedics,9,3.9,500
406,82,Dr. Nikhil Dave,Pulmonology,10,4.7,1200
407,82,Dr. Rajesh Gandhi,Pediatrics,12,4.3,1050
408,82,Dr. Rajesh Reddy,Neurology,7,4.3,800
409,82,Dr. Deepak Mehta,Ophthalmology,24,4.6,1950
410,82,Dr. Suresh Joshi,General Medicine,17,4.2,1550
411,83,Dr. Harsh Naik,Cardiology,35,5,1350
412,83,Dr. Archana Reddy,Ophthalmology,9,4.3,550
413,83,Dr. Madhuri Kothari,Orthopedics,5,4.4,350
414,83,Dr. Aditya Majumdar,Cardiology,19,4.6,1000
415,83,Dr. Madhuri Raval,ENT,4,3.2,200
416,84,Dr. Usha Thakkar,Cardiology,18,4.8,1600
417,84,Dr. Kunal Bhatt,Urology,39,4.9,3200
418,84,Dr. Harsh Mehta,Gynaecology,2,3.6,300
419,84,Dr. Rupal Naik,Urology,8,4,850
420,84,Dr. Sanjay Thakkar,Pulmonology,10,4.3,950
421,85,Dr. Anita Ranade,Pediatrics,7,3.6,450
422,85,Dr. Manish Kothari,Nephrology,3,3.2,200
423,85,Dr. Sunita Gandhi,Dermatology,17,4.8,1250
424,85,Dr. Nidhi Naidu,Orthopedics,8,4.2,650
425,85,Dr. Manish Deshpande,Cardiology,28,4.9,1650
426,86,Dr. Arjun Shinde,Neurology,4,3.1,300
427,86,Dr. Varun Soni,Gastroenterology,11,4.4,1100
428,86,Dr. Kunal Pawar,Nephrology,1,3.4,200
429,86,Dr. Rohan Naik,Gynaecology,20,4.7,1650
430,86,Dr. Anil Pandey,Orthopedics,16,4.2,1300
431,87,Dr. Mohit Mishra,Gynaecology,2,3.1,200
432,87,Dr. Gaurav Panchal,Orthopedics,6,4.2,350
433,87,Dr. Anil Swamy,Oncology,21,4.8,900
434,87,Dr. Nikhil Deshpande,Gynaecology,7,3.6,300
435,87,Dr. Kavita Kumar,Ophthalmology,34,4.4,1400
436,88,Dr. Mohit Singh,Orthopedics,1,3.8,200
437,88,Dr. Deepak Nair,Gynaecology,40,4.3,2100
438,88,Dr. Pooja Bhatt,Pediatrics,37,4.9,2150
439,88,Dr. Divya Patil,Gynaecology,17,4.3,1100
440,88,Dr. Divya Dave,Pediatrics,12,4.1,800
441,89,Dr. Sameer Joshi,Psychiatry,14,4.2,1150
442,89,Dr. Vikram Amin,Gynaecology,8,4.2,900
443,89,Dr. Sneha Panchal,Neurology,27,4.4,2100
444,89,Dr. Karthik Reddy,Pediatrics,22,4.5,1850
445,89,Dr. Nikhil More,Urology,4,3.5,400
